iteration,resnorm
664,8.68574634e-02
665,8.66377025e-02
666,8.64940988e-02
667,8.64031484e-02
668,8.62407918e-02
669,8.60446193e-02
670,8.59982257e-02
671,8.59914621e-02
672,8.59593081e-02
673,8.59395603e-02
674,8.58926476e-02
675,8.58280349e-02
676,8.56633980e-02
677,8.52747934e-02
678,8.46487466e-02
679,8.40788193e-02
680,8.34789863e-02
681,8.25094014e-02
682,8.15782485e-02
683,8.07424108e-02
684,8.02586273e-02
685,8.00781872e-02
686,7.99818840e-02
687,7.99681369e-02
688,7.99330781e-02
689,7.97018541e-02
690,7.91459474e-02
691,7.82184763e-02
692,7.68007882e-02
693,7.48859308e-02
694,7.32687492e-02
695,7.19003932e-02
696,7.12126002e-02
697,7.09229059e-02
698,7.08865253e-02
699,7.08585180e-02
700,7.07864553e-02
701,7.05971902e-02
702,7.00873762e-02
703,6.94200418e-02
704,6.84240741e-02
705,6.74972640e-02
706,6.68764081e-02
707,6.64478556e-02
708,6.61366445e-02
709,6.60297755e-02
710,6.60224887e-02
711,6.59959235e-02
712,6.59717014e-02
713,6.59078610e-02
714,6.56536539e-02
715,6.52662828e-02
716,6.49271097e-02
717,6.47156245e-02
718,6.45431432e-02
719,6.43550822e-02
720,6.41837772e-02
721,6.40396063e-02
722,6.38217775e-02
723,6.36697941e-02
724,6.35887229e-02
725,6.35340436e-02
726,6.34370921e-02
727,6.33919453e-02
728,6.33634890e-02
729,6.33508854e-02
730,6.33360764e-02
731,6.32915471e-02
732,6.31991657e-02
733,6.30755023e-02
734,6.28563257e-02
735,6.24628559e-02
736,6.18376156e-02
737,6.10644921e-02
738,6.04000344e-02
739,5.99301278e-02
740,5.96333555e-02
741,5.96006294e-02
742,5.95813671e-02
743,5.95557331e-02
744,5.95113509e-02
745,5.92771880e-02
746,5.86725628e-02
747,5.75470992e-02
748,5.61150423e-02
749,5.47557491e-02
750,5.36995546e-02
751,5.31357709e-02
752,5.29109086e-02
753,5.28820124e-02
754,5.28805521e-02
755,5.28521331e-02
756,5.26789811e-02
757,5.23670027e-02
758,5.16543721e-02
759,5.08118840e-02
760,4.97275059e-02
761,4.88153041e-02
762,4.82271550e-02
763,4.78861830e-02
764,4.77399313e-02
765,4.77079058e-02
766,4.76994017e-02
767,4.76557341e-02
768,4.74930942e-02
769,4.71814981e-02
770,4.68525846e-02
771,4.64975976e-02
772,4.61086152e-02
773,4.57527742e-02
774,4.55815243e-02
775,4.54829081e-02
776,4.54373207e-02
777,4.54023193e-02
778,4.53714714e-02
779,4.53410422e-02
780,4.53054156e-02
781,4.52623205e-02
782,4.52495150e-02
783,4.52312732e-02
784,4.52223112e-02
785,4.52124523e-02
786,4.51386955e-02
787,4.50326600e-02
788,4.48378039e-02
789,4.43672916e-02
790,4.38416284e-02
791,4.35192230e-02
792,4.33580208e-02
793,4.32496953e-02
794,4.32004404e-02
795,4.31541528e-02
796,4.31458289e-02
797,4.31244431e-02
798,4.29738893e-02
799,4.26191399e-02
800,4.20200013e-02
801,4.11036387e-02
802,4.04303078e-02
803,3.99530955e-02
804,3.96635807e-02
805,3.95080532e-02
806,3.94471601e-02
807,3.94195498e-02
808,3.93566610e-02
809,3.91638786e-02
810,3.87955663e-02
811,3.82164813e-02
812,3.76082457e-02
813,3.70675519e-02
814,3.66653534e-02
815,3.64097822e-02
816,3.63266004e-02
817,3.62746871e-02
818,3.62463824e-02
819,3.61464122e-02
820,3.60007826e-02
821,3.57495842e-02
822,3.55468808e-02
823,3.53584447e-02
824,3.52480594e-02
825,3.52192332e-02
826,3.52074533e-02
827,3.51768734e-02
828,3.51564762e-02
829,3.51189668e-02
830,3.50764862e-02
831,3.49991933e-02
832,3.49439860e-02
833,3.49335483e-02
834,3.49273928e-02
835,3.49235283e-02
836,3.49004160e-02
837,3.48343696e-02
838,3.47231058e-02
839,3.45619910e-02
840,3.43046594e-02
841,3.40412394e-02
842,3.37733310e-02
843,3.35688825e-02
844,3.34396466e-02
845,3.33880649e-02
846,3.33598000e-02
847,3.33464634e-02
848,3.32986544e-02
849,3.32156721e-02
850,3.30754440e-02
851,3.28403214e-02
852,3.24030931e-02
853,3.17584847e-02
854,3.11044720e-02
855,3.07637574e-02
856,3.05969686e-02
857,3.05262795e-02
858,3.05157711e-02
859,3.05081940e-02
860,3.04476560e-02
861,3.02284835e-02
862,2.98656504e-02
863,2.94316790e-02
864,2.89007708e-02
865,2.84793058e-02
866,2.82875038e-02
867,2.82075083e-02
868,2.81847663e-02
869,2.81776969e-02
870,2.81656398e-02
871,2.81413192e-02
872,2.81039898e-02
873,2.80733590e-02
874,2.80147003e-02
875,2.79415711e-02
876,2.78827962e-02
877,2.78172847e-02
878,2.77405178e-02
879,2.76357193e-02
880,2.74833107e-02
881,2.73620133e-02
882,2.72113954e-02
883,2.71221017e-02
884,2.71012472e-02
885,2.70969294e-02
886,2.70968989e-02
887,2.70954087e-02
888,2.70646256e-02
889,2.69923765e-02
890,2.69214655e-02
891,2.67844630e-02
892,2.65420832e-02
893,2.62196436e-02
894,2.57956815e-02
895,2.55070069e-02
896,2.53436130e-02
897,2.52335537e-02
898,2.52133088e-02
899,2.52118019e-02
900,2.51469112e-02
901,2.49283653e-02
902,2.45254289e-02
903,2.40357176e-02
904,2.35470560e-02
905,2.31490217e-02
906,2.29540696e-02
907,2.28501765e-02
908,2.27846788e-02
909,2.27786676e-02
910,2.27533802e-02
911,2.27116195e-02
912,2.25859742e-02
913,2.23684882e-02
914,2.21200010e-02
915,2.20275528e-02
916,2.19860827e-02
917,2.19562289e-02
918,2.19194663e-02
919,2.19046736e-02
920,2.18837804e-02
921,2.18417393e-02
922,2.17620924e-02
923,2.17368274e-02
924,2.17343190e-02
925,2.17332638e-02
926,2.17234351e-02
927,2.17140697e-02
928,2.17046045e-02
929,2.16680398e-02
930,2.15856068e-02
931,2.14381844e-02
932,2.12021652e-02
933,2.09514584e-02
