phi_deg,pol,geometry,strategy,sigma_m2,iters,seconds
135.0000,H,perturbed,fresh,7.90492697e-03,53,1.645
137.5000,V,nominal,fresh,1.06050228e-04,44,1.322
137.5000,V,perturbed,frozen,3.31095080e-04,54,3.927
137.5000,V,perturbed,fresh,3.31095473e-04,53,1.641
137.5000,H,nominal,fresh,3.30011499e-03,48,1.414
137.5000,H,perturbed,frozen,2.95476431e-03,55,4.192
137.5000,H,perturbed,fresh,2.95476598e-03,53,1.652
140.0000,V,nominal,fresh,1.45479356e-04,44,1.325
140.0000,V,perturbed,frozen,3.56107024e-04,54,4.151
140.0000,V,perturbed,fresh,3.56107587e-04,53,1.633
140.0000,H,nominal,fresh,1.38617242e-03,47,1.391
140.0000,H,perturbed,frozen,2.08422876e-04,55,4.135
140.0000,H,perturbed,fresh,2.08422486e-04,54,1.665
142.5000,V,nominal,fresh,2.02056387e-04,43,1.311
142.5000,V,perturbed,frozen,3.33254996e-04,54,4.180
142.5000,V,perturbed,fresh,3.33255484e-04,53,1.642
142.5000,H,nominal,fresh,8.87451620e-05,47,1.391
142.5000,H,perturbed,frozen,1.09454358e-03,55,4.014
142.5000,H,perturbed,fresh,1.09454498e-03,54,1.663
145.0000,V,nominal,fresh,2.28240294e-04,43,1.298
145.0000,V,perturbed,frozen,2.71794635e-04,54,4.172
145.0000,V,perturbed,fresh,2.71794904e-04,53,1.663
145.0000,H,nominal,fresh,7.64528075e-04,48,1.414
145.0000,H,perturbed,frozen,4.25510901e-03,55,4.115
145.0000,H,perturbed,fresh,4.25511096e-03,54,1.662
147.5000,V,nominal,fresh,2.13876829e-04,43,1.302
147.5000,V,perturbed,frozen,2.06673667e-04,54,3.929
147.5000,V,perturbed,fresh,2.06673818e-04,53,1.635
147.5000,H,nominal,fresh,3.40994776e-03,48,1.396
147.5000,H,perturbed,frozen,7.41500354e-03,55,4.134
147.5000,H,perturbed,fresh,7.41500422e-03,54,1.653
150.0000,V,nominal,fresh,1.73919344e-04,44,1.312
150.0000,V,perturbed,frozen,1.64573860e-04,55,4.226
150.0000,V,perturbed,fresh,1.64573805e-04,53,1.646
150.0000,H,nominal,fresh,6.91509068e-03,48,1.426
