case,ell_name,ell,seed,nfeat,c,scale,dead,ramp,x_tip,d,sup_DV,sup_DV_surface,file
U,d4,0.0630936,5030,512,0.0625,0.43888286930255405,0.0,0.0,0.14721755875200002,0.2523744,27.04430422683585,22.611782166090382,fields/U_d4_5030.csv
U,d4,0.0630936,5031,512,0.0625,0.590987205806102,0.0,0.0,0.14721755875200002,0.2523744,35.19315148142963,32.25988293975579,fields/U_d4_5031.csv
U,d4,0.0630936,5032,512,0.0625,0.3432326828789562,0.0,0.0,0.14721755875200002,0.2523744,20.31236273368616,18.025721351754566,fields/U_d4_5032.csv
U,d4,0.0630936,5033,512,0.0625,0.4639847018006416,0.0,0.0,0.14721755875200002,0.2523744,22.2434001461246,20.833823714407337,fields/U_d4_5033.csv
U,d4,0.0630936,5034,512,0.0625,0.3894131535681919,0.0,0.0,0.14721755875200002,0.2523744,28.37870750417544,27.9759407037972,fields/U_d4_5034.csv
U,d4,0.0630936,5035,512,0.0625,0.29086980292467307,0.0,0.0,0.14721755875200002,0.2523744,19.193101571510425,18.521236710955638,fields/U_d4_5035.csv
U,d4,0.0630936,5036,512,0.0625,0.28774924303779137,0.0,0.0,0.14721755875200002,0.2523744,20.101004410191404,20.021034863715478,fields/U_d4_5036.csv
U,d4,0.0630936,5037,512,0.0625,0.4864975330999131,0.0,0.0,0.14721755875200002,0.2523744,28.424313071954973,22.573435835880495,fields/U_d4_5037.csv
U,d4,0.0630936,5038,512,0.0625,0.3775596465386593,0.0,0.0,0.14721755875200002,0.2523744,22.21918320365942,21.149998242259887,fields/U_d4_5038.csv
U,d4,0.0630936,5039,512,0.0625,0.47428869901663634,0.0,0.0,0.14721755875200002,0.2523744,23.289050895836972,20.79072110146148,fields/U_d4_5039.csv
U,d4,0.0630936,5040,512,0.0625,0.33748996988170116,0.0,0.0,0.14721755875200002,0.2523744,21.726663738742673,18.795996226947185,fields/U_d4_5040.csv
U,d4,0.0630936,5041,512,0.0625,0.42838083373130265,0.0,0.0,0.14721755875200002,0.2523744,23.862993752709666,22.45121203448841,fields/U_d4_5041.csv
U,d4,0.0630936,5042,512,0.0625,0.33934748901116024,0.0,0.0,0.14721755875200002,0.2523744,18.376635310165433,17.875864146999255,fields/U_d4_5042.csv
U,d4,0.0630936,5043,512,0.0625,0.3261502447811066,0.0,0.0,0.14721755875200002,0.2523744,19.684529730081387,16.810281662636505,fields/U_d4_5043.csv
U,d4,0.0630936,5044,512,0.0625,0.4326116644145664,0.0,0.0,0.14721755875200002,0.2523744,37.4709637439072,35.69730691433386,fields/U_d4_5044.csv
U,d4,0.0630936,5045,512,0.0625,0.4193224055090758,0.0,0.0,0.14721755875200002,0.2523744,28.735288461975603,25.302664828002694,fields/U_d4_5045.csv
U,d4,0.0630936,5046,512,0.0625,0.4555961765297294,0.0,0.0,0.14721755875200002,0.2523744,29.587854407309887,26.800646767971813,fields/U_d4_5046.csv
U,d4,0.0630936,5047,512,0.0625,0.37514258993139865,0.0,0.0,0.14721755875200002,0.2523744,18.62062368108652,18.339510774690257,fields/U_d4_5047.csv
U,d4,0.0630936,5048,512,0.0625,0.31348750492168637,0.0,0.0,0.14721755875200002,0.2523744,20.461551142328005,17.381678448456466,fields/U_d4_5048.csv
U,d4,0.0630936,5049,512,0.0625,0.3358252126857019,0.0,0.0,0.14721755875200002,0.2523744,27.092981399922166,24.076552023261023,fields/U_d4_5049.csv
U,d4,0.0630936,5050,512,0.0625,0.2957515368530117,0.0,0.0,0.14721755875200002,0.2523744,21.852202551265545,21.534338976419303,fields/U_d4_5050.csv
U,d4,0.0630936,5051,512,0.0625,0.42357934562505917,0.0,0.0,0.14721755875200002,0.2523744,27.465764210529162,24.228149637734997,fields/U_d4_5051.csv
U,d4,0.0630936,5052,512,0.0625,0.3704801367202944,0.0,0.0,0.14721755875200002,0.2523744,24.59572307686134,23.186473011094414,fields/U_d4_5052.csv
U,d4,0.0630936,5053,512,0.0625,0.3108466662023532,0.0,0.0,0.14721755875200002,0.2523744,21.061168078905595,21.048848716023198,fields/U_d4_5053.csv
U,d4,0.0630936,5054,512,0.0625,0.547001752275271,0.0,0.0,0.14721755875200002,0.2523744,30.483077532228123,27.983032043177204,fields/U_d4_5054.csv
U,d4,0.0630936,5055,512,0.0625,0.2695017911561094,0.0,0.0,0.14721755875200002,0.2523744,21.008189314217162,20.99838192645652,fields/U_d4_5055.csv
U,d4,0.0630936,5056,512,0.0625,0.24664468514172333,0.0,0.0,0.14721755875200002,0.2523744,18.54435280161853,18.538013623404026,fields/U_d4_5056.csv
U,d4,0.0630936,5057,512,0.0625,0.35203109955791234,0.0,0.0,0.14721755875200002,0.2523744,18.67945651485022,17.71969352863703,fields/U_d4_5057.csv
U,d4,0.0630936,5058,512,0.0625,0.3705130081442766,0.0,0.0,0.14721755875200002,0.2523744,21.87262929245881,18.728348789189162,fields/U_d4_5058.csv
U,d4,0.0630936,5059,512,0.0625,0.27722748034362477,0.0,0.0,0.14721755875200002,0.2523744,18.622881332538828,18.42021053101351,fields/U_d4_5059.csv
U,d4,0.0630936,5060,512,0.0625,0.5333784025472821,0.0,0.0,0.14721755875200002,0.2523744,32.84313101802922,31.142996759586254,fields/U_d4_5060.csv
U,d4,0.0630936,5061,512,0.0625,0.4318729156486286,0.0,0.0,0.14721755875200002,0.2523744,26.46089451619603,23.339260888224857,fields/U_d4_5061.csv
U,d4,0.0630936,5062,512,0.0625,0.4313463074589591,0.0,0.0,0.14721755875200002,0.2523744,27.823993325359133,27.061701992699025,fields/U_d4_5062.csv
U,d4,0.0630936,5063,512,0.0625,0.48824314026034515,0.0,0.0,0.14721755875200002,0.2523744,30.42143779823262,30.420300133908004,fields/U_d4_5063.csv
U,d4,0.0630936,5064,512,0.0625,0.39101993381405165,0.0,0.0,0.14721755875200002,0.2523744,27.032138804024147,26.027372081037708,fields/U_d4_5064.csv
U,d4,0.0630936,5065,512,0.0625,0.2945399894639242,0.0,0.0,0.14721755875200002,0.2523744,18.101240159529787,16.503966361855667,fields/U_d4_5065.csv
U,d4,0.0630936,5066,512,0.0625,0.3795205673206159,0.0,0.0,0.14721755875200002,0.2523744,23.857495737655533,23.15818788867921,fields/U_d4_5066.csv
U,d4,0.0630936,5067,512,0.0625,0.36417680768670013,0.0,0.0,0.14721755875200002,0.2523744,25.719147167940587,25.70878691976941,fields/U_d4_5067.csv
U,d4,0.0630936,5068,512,0.0625,0.4457500977537784,0.0,0.0,0.14721755875200002,0.2523744,32.97472354361616,27.654506962851634,fields/U_d4_5068.csv
U,d4,0.0630936,5069,512,0.0625,0.2764994677241179,0.0,0.0,0.14721755875200002,0.2523744,17.22846813971455,15.679976536241005,fields/U_d4_5069.csv
U,d4,0.0630936,5070,512,0.0625,0.33198911434836414,0.0,0.0,0.14721755875200002,0.2523744,19.888269786441438,18.26330177719697,fields/U_d4_5070.csv
U,d4,0.0630936,5071,512,0.0625,0.40002944106797045,0.0,0.0,0.14721755875200002,0.2523744,25.395455902508775,25.330897157521452,fields/U_d4_5071.csv
U,d4,0.0630936,5072,512,0.0625,0.3657008821474694,0.0,0.0,0.14721755875200002,0.2523744,28.399314527570688,26.373914608437573,fields/U_d4_5072.csv
U,d4,0.0630936,5073,512,0.0625,0.4541504151420274,0.0,0.0,0.14721755875200002,0.2523744,25.931240739405535,25.24692992478213,fields/U_d4_5073.csv
U,d4,0.0630936,5074,512,0.0625,0.46685232108317337,0.0,0.0,0.14721755875200002,0.2523744,25.503367450897677,22.376949420354187,fields/U_d4_5074.csv
